,ID,y,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries
23,0x1628,1,55.0,5,30689.89,2612.4908333333333,2,5,4,1.0,3,9.0,1.99,4.0
25,0x162a,1,55.0,5,30689.89,2612.4908333333333,2,5,4,1.0,5,6.0,-1.01,4.0
26,0x162b,1,55.0,12,30689.89,2612.4908333333333,2,5,4,1.0,5,6.0,-3.01,4.0
29,0x1633,1,21.0,2,35547.71,2962.3091666666664,7,5,5,0.0,9,14.0,2.58,4.0
31,0x1636,1,21.0,2,35547.71,2853.3091666666664,7,5,5,0.0,9,17.0,2.58,4.0
33,0x1638,1,21.0,2,35547.71,2853.3091666666664,7,5,5,0.0,10,15.0,2.58,4.0
35,0x1640,1,31.0,7,73928.46,5988.705000000001,4,5,8,0.0,8,7.0,10.14,2.0
36,0x1641,1,31.0,7,73928.46,5988.705000000001,4,5,8,0.0,8,7.0,10.14,2.0
37,0x1643,1,31.0,7,73928.46,5988.705000000001,4,5,8,0.0,7,7.0,10.14,2.0
38,0x1644,1,31.0,7,73928.46,5988.705000000001,4,5,8,0.0,8,4.0,9.14,2.0
40,0x164a,1,33.0,7,131313.4,11242.783333333333,0,1,8,2.0,0,3.0,9.34,2.0
41,0x164b,1,34.0,7,131313.4,11242.783333333333,0,1,8,2.0,-1,2.0,15.34,4.0
42,0x164c,1,34.0,7,131313.4,10469.207759388815,0,1,8,2.0,0,3.0,9.34,4.0
43,0x164d,1,34.0,7,131313.4,10469.207759388815,0,1,8,2.0,0,2.0,8.34,4.0
45,0x1651,1,34.0,7,131313.4,10469.207759388815,0,1,8,2.0,0,2.0,9.34,4.0
46,0x1657,0,30.0,10,34081.38,2611.115,8,7,15,3.0,30,14.0,17.13,5.0
47,0x1658,0,30.0,10,34081.38,2840.115,8,7,15,3.0,31,14.0,17.13,5.0
48,0x1659,0,30.0,12,34081.38,2611.115,8,7,15,3.0,34,14.0,21.13,5.0
49,0x165a,1,30.0,12,34081.38,2611.115,8,7,15,3.0,27,14.0,17.13,5.0
50,0x165c,1,30.0,10,34081.38,2840.115,8,7,15,3.0,30,11.0,17.13,5.0
51,0x165d,0,30.0,10,34081.38,2611.115,8,7,15,3.0,30,14.0,17.13,9.0
52,0x1663,1,23.0,3,114838.41,9843.8675,2,5,7,3.0,14,8.0,9.41,3.0
53,0x1664,1,23.0,3,114838.41,9569.8675,2,5,7,3.0,11,11.0,9.41,3.0
54,0x1665,1,23.0,3,114838.41,9569.8675,2,5,7,3.0,11,14.0,8.24,8.0
55,0x1666,1,23.0,3,114838.41,9843.8675,2,5,7,3.0,11,11.0,11.24,8.0
56,0x1667,1,24.0,3,114838.41,9843.8675,2,5,7,3.0,13,14.0,8.24,8.0
57,0x1668,1,24.0,3,114838.41,9843.8675,2,5,7,3.0,11,14.0,8.24,8.0
59,0x166e,1,44.0,6,31370.8,2825.233333333333,0,5,12,2.0,4,0.0,5.76,2.0
62,0x1671,1,44.0,6,31370.8,2825.233333333333,1,6,12,2.0,1,0.0,5.76,5.0
63,0x1672,1,44.0,6,31370.8,2825.233333333333,1,6,12,2.0,1,0.0,5.76,5.0
65,0x1675,1,45.0,6,31370.8,2614.233333333333,1,6,12,2.0,-2,2.0,5.76,5.0
67,0x167b,1,40.0,14,33751.27,2948.605833333333,5,5,20,3.0,16,20.0,11.0,4.0
68,0x167c,1,40.0,12,33751.27,2812.605833333333,5,5,20,3.0,16,20.0,11.0,8.0
69,0x167d,1,40.0,14,33751.27,2948.605833333333,5,5,20,3.0,17,22.0,11.0,8.0
70,0x167e,1,40.0,14,33751.27,2948.605833333333,5,5,20,3.0,16,20.0,8.0,8.0
71,0x167f,1,40.0,14,33751.27,2948.605833333333,5,5,20,3.0,16,20.0,11.0,8.0
72,0x1680,1,40.0,14,33751.27,2948.605833333333,5,5,20,3.0,16,20.0,11.0,8.0
73,0x1681,1,41.0,14,33751.27,2948.605833333333,5,5,20,3.0,16,17.0,11.0,8.0
74,0x1686,1,32.0,4,88640.24,7266.686666666667,3,6,1,2.0,-1,0.0,3.51,3.0
75,0x1688,1,33.0,4,88640.24,7266.686666666667,3,6,1,2.0,4,0.0,3.51,3.0
76,0x1689,1,33.0,4,88640.24,7266.686666666667,3,6,1,2.0,4,2.0,3.51,3.0
78,0x168b,1,33.0,4,88640.24,7266.686666666667,3,6,1,2.0,4,0.0,3.51,3.0
79,0x168c,1,33.0,4,88640.24,7386.686666666667,3,6,1,2.0,4,2.0,3.51,3.0
80,0x168d,1,33.0,4,88640.24,7266.686666666667,3,6,1,2.0,-1,14.0,3.51,3.0
81,0x1692,1,35.0,5,54392.16,4766.68,6,4,14,3.0,10,8.0,5.54,3.0
82,0x1693,1,35.0,5,54392.16,4766.68,6,4,14,3.0,10,10.0,4.54,3.0
83,0x1694,1,35.0,5,54392.16,4532.68,6,4,14,3.0,15,11.0,5.54,3.0
84,0x1695,1,35.0,5,54392.16,4766.68,6,4,14,3.0,10,7.0,0.54,3.0
86,0x1697,1,35.0,5,54392.16,4766.68,6,4,14,3.0,10,8.0,5.54,3.0
87,0x1698,1,36.0,5,54392.16,4766.68,6,4,14,3.0,10,8.0,5.54,7.0
88,0x1699,1,36.0,5,54392.16,4766.68,6,4,14,3.0,10,8.0,5.54,7.0
89,0x169e,0,39.0,8,8701.545,725.12875,6,5,32,7.0,23,9.0,8.86,6.0
91,0x16a0,0,39.0,8,8701.545,519.12875,6,5,32,7.0,23,14.0,8.86,6.0
92,0x16a1,0,39.0,8,8701.545,519.12875,6,5,32,7.0,22,7.0,8.86,6.0
93,0x16a2,0,39.0,8,8701.545,519.12875,6,5,32,7.0,22,9.0,8.86,6.0
94,0x16a3,0,39.0,8,8701.545,519.12875,6,5,32,7.0,23,6.0,9.41,6.0
95,0x16a4,0,39.0,8,8701.545,725.12875,6,5,32,7.0,21,9.0,9.41,9.0
96,0x16a5,0,39.0,8,8701.545,519.12875,6,5,32,7.0,23,9.0,8.86,9.0
97,0x16aa,1,36.0,5,25546.26,2415.855,8,7,14,5.0,16,14.0,7.83,5.0
98,0x16ac,1,37.0,5,25546.26,2415.855,8,7,14,5.0,16,10.0,7.83,5.0
100,0x16ae,1,37.0,5,25546.26,2415.855,8,7,14,5.0,16,13.0,7.83,5.0
101,0x16af,1,37.0,5,25546.26,2415.855,8,7,14,5.0,16,10.0,7.83,5.0
103,0x16b1,1,37.0,5,25546.26,2415.855,8,7,14,5.0,15,13.0,7.83,5.0
104,0x16b6,1,30.0,13,31993.78,2942.148333333333,6,6,7,2.0,8,14.0,6.28,0.0
105,0x16b7,1,30.0,13,31993.78,2942.148333333333,6,6,7,2.0,12,14.0,6.28,0.0
106,0x16b9,1,30.0,13,31993.78,2942.148333333333,6,6,7,2.0,8,14.0,6.28,1.0
107,0x16ba,1,30.0,13,31993.78,2942.148333333333,6,6,7,2.0,8,14.0,6.28,1.0
108,0x16bb,1,31.0,13,31993.78,2666.148333333333,6,6,7,2.0,8,14.0,6.28,1.0
109,0x16bd,1,31.0,13,31993.78,2942.148333333333,6,6,7,2.0,8,16.0,6.28,1.0
110,0x16c2,1,20.0,0,92047.08,7670.59,6,7,16,0.0,16,11.0,9.13,0.0
111,0x16c3,1,20.0,0,92047.08,7591.59,6,7,16,0.0,16,11.0,9.13,4.0
112,0x16c4,1,20.0,0,92047.08,7591.59,6,7,16,0.0,18,11.0,9.13,4.0
113,0x16c5,0,20.0,0,92047.08,7591.59,6,7,16,0.0,16,11.0,9.13,4.0
114,0x16c6,0,20.0,0,92047.08,7591.59,6,7,16,0.0,16,8.0,9.13,4.0
115,0x16c7,0,20.0,0,92047.08,7591.59,6,7,16,0.0,16,13.0,13.13,4.0
117,0x16c9,0,20.0,0,92047.08,7591.59,6,7,16,0.0,16,11.0,9.13,4.0
118,0x16ce,1,45.0,14,32284.62,2898.385,6,7,17,6.0,11,12.0,9.22,8.0
119,0x16cf,1,46.0,14,32284.62,2898.385,6,7,17,6.0,11,12.0,9.22,8.0
120,0x16d0,1,46.0,14,32284.62,2898.385,6,7,17,6.0,10,12.0,9.22,8.0
121,0x16d1,1,46.0,14,32284.62,2898.385,6,7,17,6.0,11,12.0,9.22,8.0
123,0x16d3,1,46.0,14,32284.62,2898.385,6,7,17,6.0,11,12.0,8.22,10.0
124,0x16d4,1,46.0,14,32284.62,2898.385,6,7,17,6.0,7,14.0,9.22,10.0
125,0x16d5,1,46.0,14,32284.62,2898.385,6,7,17,6.0,13,12.0,2.2200000000000006,10.0
126,0x16da,1,26.0,11,97791.42,8079.285,6,6,12,0.0,18,8.0,17.92,1.0
127,0x16db,1,26.0,11,97791.42,8079.285,6,6,12,0.0,18,8.0,11.920000000000002,1.0
128,0x16dc,1,26.0,11,97791.42,8079.285,6,6,12,0.0,18,7.0,17.92,1.0
129,0x16dd,1,26.0,11,97791.42,8149.285,6,6,12,0.0,19,8.0,15.920000000000002,1.0
130,0x16de,1,26.0,11,97791.42,7449.469346853578,6,6,12,0.0,18,14.0,17.92,1.0
131,0x16df,1,26.0,11,97791.42,7449.469346853578,6,6,12,0.0,16,8.0,17.92,1.0
132,0x16e0,1,26.0,11,97791.42,7449.469346853578,6,6,12,0.0,18,8.0,13.920000000000002,1.0
133,0x16e1,1,26.0,11,97791.42,7449.469346853578,6,6,12,0.0,18,8.0,17.92,1.0
134,0x16e6,0,31.0,5,19300.34,1512.361666666667,6,7,17,5.0,52,14.0,9.95,7.0
135,0x16e7,0,31.0,5,19300.34,1512.361666666667,6,7,17,5.0,51,18.0,9.95,7.0
136,0x16e8,0,31.0,5,19300.34,1512.361666666667,6,7,17,5.0,48,19.0,15.95,7.0
137,0x16e9,1,31.0,5,19300.34,1512.361666666667,6,7,17,5.0,51,19.0,9.95,7.0
138,0x16ea,0,32.0,5,19300.34,1512.361666666667,6,7,17,5.0,51,19.0,9.95,7.0
141,0x16f2,1,41.0,11,19514.88,1828.24,7,5,17,0.0,30,12.0,4.17,2.0
142,0x16f3,1,41.0,11,19514.88,1828.24,7,5,17,0.0,30,14.0,4.17,2.0
144,0x16f6,0,41.0,11,19514.88,1626.24,7,5,17,0.0,30,14.0,4.17,2.0
145,0x16f7,0,41.0,12,19514.88,1626.24,7,5,17,0.0,30,12.0,4.17,2.0
146,0x16f8,0,41.0,11,19514.88,1828.24,7,5,17,0.0,30,15.0,4.17,2.0
147,0x16fe,0,41.0,10,10183.015,848.5845833333333,7,5,17,5.0,48,14.0,8.969999999999997,6.0
148,0x16ff,0,41.0,10,10183.015,1074.5845833333333,7,5,17,5.0,48,18.0,7.97,6.0
150,0x1701,1,41.0,10,10183.015,1074.5845833333333,7,5,17,5.0,43,20.0,7.97,6.0
151,0x1702,0,41.0,10,10183.015,1074.5845833333333,7,5,17,5.0,51,14.0,7.97,6.0
152,0x1704,0,42.0,10,10183.015,1074.5845833333333,7,5,17,5.0,52,21.0,7.97,6.0
153,0x1705,0,42.0,10,10183.015,1074.5845833333333,7,5,17,5.0,48,21.0,7.97,6.0
154,0x170a,1,19.0,5,106733.13,8873.4275,4,4,1,0.0,10,8.0,0.86,0.0
155,0x170b,1,20.0,5,106733.13,8873.4275,4,4,1,0.0,5,7.0,9.41,0.0
157,0x170f,1,20.0,5,106733.13,8873.4275,4,4,1,0.0,5,6.0,-0.14,0.0
158,0x1710,1,20.0,5,106733.13,8873.4275,4,4,1,0.0,9,4.0,0.86,1.0
159,0x1711,1,20.0,5,106733.13,8873.4275,4,4,1,0.0,7,6.0,0.86,1.0
160,0x1718,1,31.0,7,12600.445,782.0370833333334,5,5,10,3.0,25,16.0,15.79,7.0
161,0x1719,0,32.0,12,12600.445,782.0370833333334,5,5,10,3.0,25,18.0,15.79,6.0
163,0x171b,0,32.0,7,12600.445,782.0370833333334,5,5,10,3.0,25,19.0,15.79,7.0
164,0x171c,0,32.0,7,12600.445,782.0370833333334,5,5,10,3.0,25,20.0,21.79,7.0
165,0x171d,0,32.0,7,12600.445,782.0370833333334,5,5,10,3.0,25,19.0,15.79,11.0
166,0x1722,0,34.0,9,57983.12,4720.926666666667,9,8,31,8.0,47,19.0,7.27,12.0
167,0x1724,0,34.0,9,57983.12,4720.926666666667,9,8,31,8.0,48,14.0,7.27,17.0
169,0x1726,0,34.0,9,57983.12,4720.926666666667,9,8,31,8.0,48,21.0,10.27,17.0
170,0x1727,1,34.0,9,57983.12,4720.926666666667,9,8,31,8.0,46,21.0,7.27,17.0
171,0x1729,0,34.0,9,57983.12,4720.926666666667,9,8,31,8.0,48,24.0,7.27,6.0
172,0x172e,1,48.0,5,20787.69,1999.3075,8,6,14,3.0,22,14.0,1.13,3.0
173,0x172f,1,48.0,12,20787.69,1999.3075,8,6,14,3.0,24,14.0,1.13,3.0
174,0x1730,1,48.0,12,20787.69,1999.3075,8,6,14,3.0,22,14.0,1.13,3.0
175,0x1731,1,48.0,5,20787.69,1732.3075,8,6,14,3.0,22,12.0,1.13,3.0
176,0x1732,1,48.0,5,20787.69,1732.3075,8,6,14,3.0,22,14.0,-2.87,3.0
177,0x1733,1,48.0,5,20787.69,1999.3075,8,6,14,3.0,22,14.0,1.13,3.0
178,0x1734,1,48.0,5,20787.69,1999.3075,8,6,14,3.0,23,14.0,1.13,3.0
179,0x173a,0,30.0,15,34290.12,2697.51,9,8,25,7.0,52,10.0,17.96,9.0
181,0x173c,1,30.0,15,34290.12,2697.51,9,8,25,7.0,52,6.0,12.96,9.0
182,0x173e,0,30.0,12,34290.12,2697.51,9,8,25,7.0,52,12.0,13.96,9.0
183,0x173f,0,30.0,15,34290.12,2697.51,9,8,25,7.0,52,12.0,13.96,9.0
184,0x1740,1,30.0,15,34290.12,2697.51,9,8,25,7.0,52,12.0,13.96,13.0
185,0x1746,1,32.0,0,43070.24,3589.1866666666665,3,3,18,1.0,11,8.0,8.97,4.0
186,0x1747,1,32.0,0,43070.24,3622.186666666666,3,3,18,1.0,13,8.0,14.97,4.0
187,0x1748,1,32.0,0,43070.24,3622.186666666666,3,3,18,1.0,15,8.0,12.97,4.0
189,0x174b,1,32.0,0,43070.24,3622.186666666666,3,3,18,1.0,8,8.0,4.9700000000000015,8.0
190,0x174c,1,32.0,0,43070.24,3622.186666666666,3,3,18,1.0,11,8.0,8.97,8.0
191,0x1752,1,40.0,1,28572.39,2210.0325,6,3,15,3.0,25,12.0,4.89,0.0
192,0x1753,1,40.0,1,28572.39,2210.0325,6,3,15,3.0,25,9.0,4.89,0.0
193,0x1754,1,40.0,12,28572.39,2210.0325,6,3,15,3.0,28,10.0,4.89,0.0
195,0x1756,1,40.0,1,28572.39,2381.0325,6,3,15,3.0,25,12.0,4.89,2.0
197,0x176a,1,54.0,13,20186.02,1684.168333333333,1,5,1,2.0,5,6.0,6.83,4.0
198,0x176b,1,54.0,13,20186.02,1684.168333333333,1,5,1,2.0,5,6.0,0.8300000000000001,6.0
199,0x176c,1,55.0,13,20186.02,1684.168333333333,1,5,1,2.0,4,3.0,6.83,4.0
200,0x176e,1,55.0,13,20186.02,1684.168333333333,1,5,1,2.0,5,7.0,6.83,4.0
201,0x1770,1,55.0,13,20186.02,1684.168333333333,1,5,1,2.0,5,6.0,6.83,4.0
202,0x1771,1,55.0,13,20186.02,1684.168333333333,1,5,1,2.0,5,6.0,6.83,4.0
204,0x1777,0,43.0,11,18627.64,1552.3033333333333,7,7,19,6.0,31,21.0,5.07,7.0
205,0x1778,0,43.0,11,18627.64,1552.3033333333333,7,7,19,6.0,31,21.0,5.07,7.0
206,0x1779,1,43.0,11,18627.64,1387.303333333333,7,7,19,6.0,31,22.0,5.07,7.0
207,0x177b,0,43.0,11,18627.64,1387.303333333333,7,7,19,6.0,31,21.0,6.07,7.0
208,0x177c,0,43.0,11,18627.64,1387.303333333333,7,7,19,6.0,26,21.0,9.41,7.0
210,0x1782,1,21.0,4,12986.745,959.22875,4,3,10,2.0,30,14.0,11.8,5.0
211,0x1783,1,21.0,4,12986.745,959.22875,4,3,10,2.0,29,17.0,11.8,7.0
212,0x1784,1,21.0,4,12986.745,959.22875,4,3,10,2.0,30,20.0,11.8,7.0
213,0x1785,1,21.0,12,12986.745,959.22875,4,3,10,2.0,30,15.0,11.8,7.0
214,0x1786,1,22.0,4,12986.745,959.22875,4,3,10,2.0,30,18.0,16.8,7.0
215,0x1787,1,22.0,4,12986.745,1082.22875,4,3,10,2.0,30,17.0,11.8,7.0
216,0x1788,1,22.0,4,12986.745,959.22875,4,3,10,2.0,28,20.0,11.8,7.0
218,0x178e,1,43.0,15,58317.0,4664.75,8,5,9,6.0,18,17.0,16.58,6.0
219,0x178f,1,43.0,15,58317.0,4664.75,8,5,9,6.0,18,20.0,16.58,6.0
220,0x1790,1,44.0,15,58317.0,4859.75,8,5,9,6.0,16,20.0,10.579999999999998,6.0
221,0x1792,1,44.0,15,58317.0,4664.75,8,5,9,6.0,18,20.0,22.58,6.0
222,0x1793,1,44.0,15,58317.0,4664.75,8,5,9,6.0,18,14.0,16.58,10.0
223,0x1794,1,44.0,15,58317.0,4664.75,8,5,9,6.0,18,20.0,21.58,10.0
225,0x179a,1,36.0,13,42171.98,3514.331666666667,2,7,10,3.0,4,10.0,9.58,4.0
226,0x179b,1,36.0,13,42171.98,3764.331666666667,2,7,10,3.0,4,8.0,2.58,4.0
227,0x179c,1,37.0,13,42171.98,3764.331666666667,2,7,10,3.0,4,14.0,2.58,4.0
228,0x179d,1,37.0,13,42171.98,3514.331666666667,2,7,10,3.0,2,10.0,2.58,4.0
229,0x179e,1,37.0,13,42171.98,3764.331666666667,2,7,10,3.0,4,10.0,2.58,4.0
230,0x179f,1,37.0,13,42171.98,3764.331666666667,2,7,10,3.0,2,10.0,2.58,4.0
231,0x17a0,1,37.0,13,42171.98,3764.331666666667,2,7,10,3.0,4,10.0,2.58,4.0
233,0x17a7,1,36.0,8,71681.4,5799.45,3,6,15,1.0,8,6.0,10.44,0.0
234,0x17a8,1,36.0,8,71681.4,5799.45,3,6,15,1.0,8,10.0,10.44,0.0
235,0x17a9,1,36.0,8,71681.4,5799.45,3,6,15,1.0,4,8.0,10.44,0.0
237,0x17ac,1,36.0,8,71681.4,5799.45,3,6,15,1.0,8,10.0,4.44,0.0
238,0x17ad,1,36.0,8,71681.4,5799.45,3,6,15,1.0,8,8.0,10.44,0.0
239,0x17b5,0,16.0,9,29469.98,2227.8316666666665,7,7,24,5.0,53,21.0,26.94,11.0
240,0x17b6,0,16.0,9,29469.98,2227.8316666666665,7,7,24,5.0,53,21.0,26.94,11.0
241,0x17b7,0,16.0,9,29469.98,2455.8316666666665,7,7,24,5.0,53,21.0,27.94,11.0
242,0x17b9,0,16.0,9,29469.98,2227.8316666666665,7,7,24,5.0,53,21.0,26.94,11.0
244,0x17bf,1,19.0,4,72559.36,6046.613333333334,4,5,17,4.0,14,22.0,2.74,1.0
245,0x17c0,1,20.0,4,72559.36,6284.613333333334,4,5,17,4.0,18,22.0,-4.26,1.0
247,0x17c2,1,20.0,12,72559.36,6284.613333333334,4,5,17,4.0,14,21.0,2.74,1.0
248,0x17c4,1,20.0,4,72559.36,6284.613333333334,4,5,17,4.0,14,19.0,2.74,1.0
249,0x17c5,1,20.0,12,72559.36,6284.613333333334,4,5,17,4.0,15,19.0,-1.2599999999999998,5.0
250,0x17cb,0,36.0,11,15566.02,1423.168333333333,8,5,32,4.0,17,20.0,9.24,7.0
253,0x17ce,0,37.0,11,15566.02,1423.168333333333,8,5,32,4.0,17,20.0,9.24,9.0
254,0x17cf,0,37.0,11,15566.02,1423.168333333333,8,5,32,4.0,13,23.0,9.24,9.0
255,0x17d1,1,37.0,11,15566.02,1423.168333333333,8,5,32,4.0,17,23.0,9.24,9.0
256,0x17d7,1,18.0,2,66567.32,5800.276666666668,5,7,5,2.0,7,14.0,5.67,0.0
257,0x17d8,1,18.0,2,66567.32,5800.276666666668,5,7,5,2.0,7,12.0,5.67,0.0
258,0x17d9,1,18.0,2,66567.32,5800.276666666668,5,7,5,2.0,7,14.0,4.67,0.0
259,0x17da,1,19.0,2,66567.32,5800.276666666668,5,7,5,2.0,7,15.0,5.67,0.0
260,0x17db,1,19.0,2,66567.32,5800.276666666668,5,7,5,2.0,7,15.0,5.67,0.0
262,0x17dd,1,19.0,2,66567.32,5800.276666666668,5,7,5,2.0,7,14.0,-1.33,2.0
263,0x17e2,1,32.0,10,12909.895,853.8245833333333,5,5,13,0.0,22,14.0,7.58,1.0
265,0x17e4,1,33.0,10,12909.895,853.8245833333333,5,5,13,0.0,20,14.0,7.58,1.0
268,0x17ef,1,33.0,0,30788.44,2565.7033333333334,7,9,31,6.0,49,20.0,21.73,9.0
269,0x17f0,1,33.0,0,30788.44,2565.7033333333334,7,9,31,6.0,52,22.0,21.73,9.0
270,0x17f1,1,33.0,0,30788.44,2623.703333333333,7,9,31,6.0,49,20.0,21.73,9.0
271,0x17f2,1,33.0,0,30788.44,2623.703333333333,7,9,31,6.0,49,20.0,21.73,9.0
272,0x17f3,1,33.0,0,30788.44,2623.703333333333,7,9,31,6.0,45,21.0,21.73,9.0
273,0x17f4,1,33.0,0,30788.44,2623.703333333333,7,9,31,6.0,49,20.0,21.73,9.0
275,0x17fa,1,42.0,1,20574.47,1740.539166666667,6,3,14,4.0,6,14.0,13.74,6.0
277,0x17fc,1,42.0,12,20574.47,1740.539166666667,6,3,14,4.0,6,10.0,14.74,11.0
278,0x17ff,1,42.0,1,20574.47,1740.539166666667,6,3,14,4.0,6,10.0,6.74,11.0
279,0x1800,1,42.0,1,20574.47,1740.539166666667,6,3,14,4.0,1,7.0,13.74,11.0
281,0x1809,1,22.0,7,148699.32,12432.61,3,4,5,3.0,13,6.0,9.2,1.0
282,0x180b,1,22.0,7,148699.32,12432.61,3,4,5,3.0,13,6.0,9.2,1.0
283,0x180c,1,22.0,7,148699.32,12432.61,3,4,5,3.0,18,6.0,9.2,1.0
284,0x180d,1,22.0,7,148699.32,12432.61,3,4,5,3.0,16,8.0,9.2,1.0
285,0x1812,1,19.0,11,85554.03,7185.5025,4,2,3,0.0,12,7.0,6.43,3.0
286,0x1813,1,19.0,11,85554.03,7185.5025,4,2,3,0.0,12,14.0,6.43,3.0
287,0x1814,1,19.0,11,85554.03,7185.5025,4,2,3,0.0,12,7.0,6.43,3.0
288,0x1817,1,19.0,11,85554.03,7185.5025,4,2,3,0.0,12,7.0,6.43,3.0
289,0x1819,1,20.0,12,85554.03,7185.5025,4,2,3,0.0,12,7.0,6.43,3.0
290,0x181e,1,15.0,5,55829.79,4369.4825,10,10,18,8.0,30,20.0,27.99,11.0
291,0x1820,1,15.0,5,55829.79,4369.4825,10,10,18,8.0,30,19.0,27.99,11.0
292,0x1821,1,15.0,5,55829.79,4369.4825,10,10,18,8.0,30,18.0,27.99,11.0
296,0x1825,1,16.0,5,55829.79,4652.4825,10,10,18,8.0,30,19.0,23.99,11.0
297,0x182b,0,27.0,1,14165.23,1180.4358333333332,7,10,33,9.0,55,24.0,6.82,11.0
298,0x182f,0,27.0,1,14165.23,1057.4358333333332,7,10,33,9.0,55,24.0,8.82,11.0
299,0x1836,1,30.0,14,87215.68,7489.973333333332,2,6,8,2.0,2,14.0,10.98,0.0
300,0x1837,1,30.0,14,87215.68,7489.973333333332,2,6,8,2.0,6,6.0,10.98,0.0
302,0x183a,1,30.0,14,87215.68,7489.973333333332,2,6,8,2.0,2,5.0,10.98,0.0
304,0x183c,1,30.0,14,87215.68,7489.973333333332,2,6,8,2.0,2,5.0,10.98,0.0
305,0x183d,1,30.0,14,87215.68,7489.973333333332,2,6,8,2.0,2,8.0,10.98,0.0
306,0x1842,1,43.0,7,81842.28,6820.19,10,9,25,9.0,20,19.0,16.25,9.0
308,0x1844,1,43.0,7,81842.28,6810.19,10,9,25,9.0,20,19.0,16.25,9.0
309,0x1845,1,43.0,7,81842.28,6810.19,10,9,25,9.0,20,16.0,14.25,9.0
311,0x1847,1,43.0,7,81842.28,6810.19,10,9,25,9.0,20,19.0,16.25,11.0
312,0x1848,1,43.0,7,81842.28,6810.19,10,9,25,9.0,20,19.0,10.25,11.0
313,0x1849,1,43.0,7,81842.28,6820.19,10,9,25,9.0,20,16.0,16.25,11.0
314,0x184f,1,38.0,3,95956.5,8279.375,8,4,11,2.0,23,10.0,11.94,2.0
315,0x1850,1,38.0,3,95956.5,8279.375,8,4,11,2.0,23,10.0,11.94,2.0
319,0x1854,1,38.0,3,95956.5,8279.375,8,4,11,2.0,23,10.0,11.94,2.0
320,0x1855,1,38.0,3,95956.5,8279.375,8,4,11,2.0,23,14.0,11.94,2.0
321,0x185a,0,25.0,8,49967.01,4091.9175,7,6,31,6.0,27,11.0,19.87,11.0
322,0x185b,0,25.0,12,49967.01,4163.9175000000005,7,6,31,6.0,27,11.0,19.87,11.0
324,0x185d,0,26.0,8,49967.01,4091.9175,7,6,31,6.0,27,11.0,19.87,11.0
325,0x185e,0,26.0,12,49967.01,4091.9175,7,6,31,6.0,27,11.0,19.87,11.0
326,0x185f,0,26.0,8,49967.01,4091.9175,6,5,31,6.0,27,14.0,24.87,11.0
327,0x1860,0,26.0,8,49967.01,4091.9175,6,5,31,6.0,27,10.0,16.87,12.0
328,0x1869,0,14.0,2,39887.22,3224.935,9,9,16,5.0,52,14.0,17.25,14.0
330,0x187e,1,42.0,2,123732.32,10416.026666666668,4,3,11,0.0,15,8.0,11.92,3.0
331,0x187f,1,42.0,12,123732.32,10416.026666666668,4,3,11,0.0,15,8.0,11.92,3.0
332,0x1880,1,43.0,2,123732.32,10416.026666666668,4,3,11,0.0,15,8.0,12.92,3.0
