,ID,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,y
19,0x1620,34.0,4,143162.64,12187.22,1,5,8,3.0,8,6.0,7.1,3.0,1
20,0x1621,34.0,4,143162.64,12187.22,1,5,8,3.0,8,6.0,7.1,3.0,1
22,0x1627,54.0,5,30689.89,2612.4908333333333,2,5,4,1.0,5,3.0,1.99,4.0,1
24,0x1629,55.0,5,30689.89,2612.4908333333333,2,5,4,1.0,7,6.0,-2.01,4.0,1
25,0x162a,55.0,5,30689.89,2612.4908333333333,2,5,4,1.0,5,6.0,-1.01,4.0,1
27,0x162c,55.0,5,30689.89,2612.4908333333333,2,5,4,1.0,5,14.0,1.99,4.0,1
29,0x1633,21.0,2,35547.71,2962.3091666666664,7,5,5,0.0,9,14.0,2.58,4.0,1
31,0x1636,21.0,2,35547.71,2853.3091666666664,7,5,5,0.0,9,17.0,2.58,4.0,1
32,0x1637,21.0,2,35547.71,2962.3091666666664,7,5,5,0.0,5,15.0,2.58,4.0,1
33,0x1638,21.0,2,35547.71,2853.3091666666664,7,5,5,0.0,10,15.0,2.58,4.0,1
34,0x163f,31.0,12,73928.46,5988.705000000001,4,5,8,0.0,8,7.0,10.14,2.0,2
35,0x1640,31.0,7,73928.46,5988.705000000001,4,5,8,0.0,8,7.0,10.14,2.0,2
36,0x1641,31.0,7,73928.46,5988.705000000001,4,5,8,0.0,8,7.0,10.14,2.0,2
37,0x1643,31.0,7,73928.46,5988.705000000001,4,5,8,0.0,7,7.0,10.14,2.0,2
38,0x1644,31.0,7,73928.46,5988.705000000001,4,5,8,0.0,8,4.0,9.14,2.0,1
39,0x1645,31.0,7,73928.46,5988.705000000001,4,5,8,0.0,8,7.0,10.14,6.0,2
40,0x164a,33.0,7,131313.4,11242.783333333333,0,1,8,2.0,0,3.0,9.34,2.0,2
42,0x164c,34.0,7,131313.4,10469.207759388815,0,1,8,2.0,0,3.0,9.34,4.0,2
43,0x164d,34.0,7,131313.4,10469.207759388815,0,1,8,2.0,0,2.0,8.34,4.0,2
44,0x164e,34.0,7,131313.4,10469.207759388815,0,1,8,2.0,0,4.0,9.34,4.0,2
45,0x1651,34.0,7,131313.4,10469.207759388815,0,1,8,2.0,0,2.0,9.34,4.0,2
47,0x1658,30.0,10,34081.38,2840.115,8,7,15,3.0,31,14.0,17.13,5.0,0
49,0x165a,30.0,12,34081.38,2611.115,8,7,15,3.0,27,14.0,17.13,5.0,1
52,0x1663,23.0,3,114838.41,9843.8675,2,5,7,3.0,14,8.0,9.41,3.0,2
54,0x1665,23.0,3,114838.41,9569.8675,2,5,7,3.0,11,14.0,8.24,8.0,2
56,0x1667,24.0,3,114838.41,9843.8675,2,5,7,3.0,13,14.0,8.24,8.0,2
57,0x1668,24.0,3,114838.41,9843.8675,2,5,7,3.0,11,14.0,8.24,8.0,2
58,0x1669,24.0,3,114838.41,9843.8675,2,5,7,3.0,11,11.0,8.24,8.0,1
59,0x166e,44.0,6,31370.8,2825.233333333333,0,5,12,2.0,4,0.0,5.76,2.0,2
60,0x166f,44.0,6,31370.8,2825.233333333333,1,6,12,2.0,2,0.0,-1.2400000000000002,2.0,2
61,0x1670,44.0,6,31370.8,2825.233333333333,1,6,12,2.0,-2,0.0,1.7599999999999998,5.0,2
62,0x1671,44.0,6,31370.8,2825.233333333333,1,6,12,2.0,1,0.0,5.76,5.0,2
64,0x1673,44.0,6,31370.8,2825.233333333333,1,6,12,2.0,1,0.0,5.76,5.0,2
65,0x1675,45.0,6,31370.8,2614.233333333333,1,6,12,2.0,-2,2.0,5.76,5.0,2
66,0x167a,40.0,14,33751.27,2948.605833333333,5,5,20,3.0,16,20.0,11.0,4.0,1
67,0x167b,40.0,14,33751.27,2948.605833333333,5,5,20,3.0,16,20.0,11.0,4.0,1
68,0x167c,40.0,12,33751.27,2812.605833333333,5,5,20,3.0,16,20.0,11.0,8.0,1
69,0x167d,40.0,14,33751.27,2948.605833333333,5,5,20,3.0,17,22.0,11.0,8.0,1
70,0x167e,40.0,14,33751.27,2948.605833333333,5,5,20,3.0,16,20.0,8.0,8.0,1
71,0x167f,40.0,14,33751.27,2948.605833333333,5,5,20,3.0,16,20.0,11.0,8.0,1
72,0x1680,40.0,14,33751.27,2948.605833333333,5,5,20,3.0,16,20.0,11.0,8.0,1
73,0x1681,41.0,14,33751.27,2948.605833333333,5,5,20,3.0,16,17.0,11.0,8.0,1
74,0x1686,32.0,4,88640.24,7266.686666666667,3,6,1,2.0,-1,0.0,3.51,3.0,1
76,0x1689,33.0,4,88640.24,7266.686666666667,3,6,1,2.0,4,2.0,3.51,3.0,1
77,0x168a,33.0,4,88640.24,7266.686666666667,3,6,1,2.0,4,2.0,3.51,3.0,2
78,0x168b,33.0,4,88640.24,7266.686666666667,3,6,1,2.0,4,0.0,3.51,3.0,2
79,0x168c,33.0,4,88640.24,7386.686666666667,3,6,1,2.0,4,2.0,3.51,3.0,2
80,0x168d,33.0,4,88640.24,7266.686666666667,3,6,1,2.0,-1,14.0,3.51,3.0,2
81,0x1692,35.0,5,54392.16,4766.68,6,4,14,3.0,10,8.0,5.54,3.0,1
82,0x1693,35.0,5,54392.16,4766.68,6,4,14,3.0,10,10.0,4.54,3.0,1
83,0x1694,35.0,5,54392.16,4532.68,6,4,14,3.0,15,11.0,5.54,3.0,1
84,0x1695,35.0,5,54392.16,4766.68,6,4,14,3.0,10,7.0,0.54,3.0,1
85,0x1696,35.0,5,54392.16,4766.68,6,4,14,3.0,10,8.0,11.54,3.0,1
86,0x1697,35.0,5,54392.16,4766.68,6,4,14,3.0,10,8.0,5.54,3.0,1
87,0x1698,36.0,5,54392.16,4766.68,6,4,14,3.0,10,8.0,5.54,7.0,1
89,0x169e,39.0,8,8701.545,725.12875,6,5,32,7.0,23,9.0,8.86,6.0,0
91,0x16a0,39.0,8,8701.545,519.12875,6,5,32,7.0,23,14.0,8.86,6.0,0
92,0x16a1,39.0,8,8701.545,519.12875,6,5,32,7.0,22,7.0,8.86,6.0,0
93,0x16a2,39.0,8,8701.545,519.12875,6,5,32,7.0,22,9.0,8.86,6.0,0
94,0x16a3,39.0,8,8701.545,519.12875,6,5,32,7.0,23,6.0,9.41,6.0,0
96,0x16a5,39.0,8,8701.545,519.12875,6,5,32,7.0,23,9.0,8.86,9.0,0
97,0x16aa,36.0,5,25546.26,2415.855,8,7,14,5.0,16,14.0,7.83,5.0,1
98,0x16ac,37.0,5,25546.26,2415.855,8,7,14,5.0,16,10.0,7.83,5.0,1
100,0x16ae,37.0,5,25546.26,2415.855,8,7,14,5.0,16,13.0,7.83,5.0,1
101,0x16af,37.0,5,25546.26,2415.855,8,7,14,5.0,16,10.0,7.83,5.0,1
102,0x16b0,37.0,5,25546.26,2415.855,8,7,14,5.0,16,14.0,10.83,5.0,1
103,0x16b1,37.0,5,25546.26,2415.855,8,7,14,5.0,15,13.0,7.83,5.0,1
105,0x16b7,30.0,13,31993.78,2942.148333333333,6,6,7,2.0,12,14.0,6.28,0.0,1
106,0x16b9,30.0,13,31993.78,2942.148333333333,6,6,7,2.0,8,14.0,6.28,1.0,1
107,0x16ba,30.0,13,31993.78,2942.148333333333,6,6,7,2.0,8,14.0,6.28,1.0,1
109,0x16bd,31.0,13,31993.78,2942.148333333333,6,6,7,2.0,8,16.0,6.28,1.0,1
110,0x16c2,20.0,0,92047.08,7670.59,6,7,16,0.0,16,11.0,9.13,0.0,1
112,0x16c4,20.0,0,92047.08,7591.59,6,7,16,0.0,18,11.0,9.13,4.0,1
113,0x16c5,20.0,0,92047.08,7591.59,6,7,16,0.0,16,11.0,9.13,4.0,0
114,0x16c6,20.0,0,92047.08,7591.59,6,7,16,0.0,16,8.0,9.13,4.0,0
115,0x16c7,20.0,0,92047.08,7591.59,6,7,16,0.0,16,13.0,13.13,4.0,0
116,0x16c8,20.0,0,92047.08,7591.59,6,7,16,0.0,16,10.0,9.13,4.0,0
118,0x16ce,45.0,14,32284.62,2898.385,6,7,17,6.0,11,12.0,9.22,8.0,1
119,0x16cf,46.0,14,32284.62,2898.385,6,7,17,6.0,11,12.0,9.22,8.0,1
120,0x16d0,46.0,14,32284.62,2898.385,6,7,17,6.0,10,12.0,9.22,8.0,1
121,0x16d1,46.0,14,32284.62,2898.385,6,7,17,6.0,11,12.0,9.22,8.0,1
122,0x16d2,46.0,14,32284.62,2898.385,6,7,17,6.0,15,14.0,8.22,10.0,1
123,0x16d3,46.0,14,32284.62,2898.385,6,7,17,6.0,11,12.0,8.22,10.0,1
124,0x16d4,46.0,14,32284.62,2898.385,6,7,17,6.0,7,14.0,9.22,10.0,1
125,0x16d5,46.0,14,32284.62,2898.385,6,7,17,6.0,13,12.0,2.2200000000000006,10.0,1
126,0x16da,26.0,11,97791.42,8079.285,6,6,12,0.0,18,8.0,17.92,1.0,1
127,0x16db,26.0,11,97791.42,8079.285,6,6,12,0.0,18,8.0,11.920000000000002,1.0,1
128,0x16dc,26.0,11,97791.42,8079.285,6,6,12,0.0,18,7.0,17.92,1.0,1
129,0x16dd,26.0,11,97791.42,8149.285,6,6,12,0.0,19,8.0,15.920000000000002,1.0,2
130,0x16de,26.0,11,97791.42,7449.469346853578,6,6,12,0.0,18,14.0,17.92,1.0,2
131,0x16df,26.0,11,97791.42,7449.469346853578,6,6,12,0.0,16,8.0,17.92,1.0,2
133,0x16e1,26.0,11,97791.42,7449.469346853578,6,6,12,0.0,18,8.0,17.92,1.0,2
134,0x16e6,31.0,5,19300.34,1512.361666666667,6,7,17,5.0,52,14.0,9.95,7.0,0
136,0x16e8,31.0,5,19300.34,1512.361666666667,6,7,17,5.0,48,19.0,15.95,7.0,0
137,0x16e9,31.0,5,19300.34,1512.361666666667,6,7,17,5.0,51,19.0,9.95,7.0,1
139,0x16ec,32.0,5,19300.34,1608.361666666667,6,7,17,5.0,51,19.0,8.95,8.0,0
140,0x16ed,32.0,5,19300.34,1512.361666666667,6,7,17,5.0,53,19.0,9.95,8.0,1
141,0x16f2,41.0,11,19514.88,1828.24,7,5,17,0.0,30,12.0,4.17,2.0,1
142,0x16f3,41.0,11,19514.88,1828.24,7,5,17,0.0,30,14.0,4.17,2.0,1
143,0x16f4,41.0,11,19514.88,1828.24,7,5,17,0.0,30,12.0,4.17,2.0,1
145,0x16f7,41.0,12,19514.88,1626.24,7,5,17,0.0,30,12.0,4.17,2.0,0
146,0x16f8,41.0,11,19514.88,1828.24,7,5,17,0.0,30,15.0,4.17,2.0,0
147,0x16fe,41.0,10,10183.015,848.5845833333333,7,5,17,5.0,48,14.0,8.969999999999997,6.0,0
148,0x16ff,41.0,10,10183.015,1074.5845833333333,7,5,17,5.0,48,18.0,7.97,6.0,0
149,0x1700,41.0,10,10183.015,1074.5845833333333,7,5,17,5.0,48,23.0,7.97,6.0,0
150,0x1701,41.0,10,10183.015,1074.5845833333333,7,5,17,5.0,43,20.0,7.97,6.0,1
151,0x1702,41.0,10,10183.015,1074.5845833333333,7,5,17,5.0,51,14.0,7.97,6.0,0
152,0x1704,42.0,10,10183.015,1074.5845833333333,7,5,17,5.0,52,21.0,7.97,6.0,0
153,0x1705,42.0,10,10183.015,1074.5845833333333,7,5,17,5.0,48,21.0,7.97,6.0,0
155,0x170b,20.0,5,106733.13,8873.4275,4,4,1,0.0,5,7.0,9.41,0.0,2
156,0x170d,20.0,5,106733.13,8894.4275,4,4,1,0.0,5,7.0,-4.14,0.0,2
158,0x1710,20.0,5,106733.13,8873.4275,4,4,1,0.0,9,4.0,0.86,1.0,1
159,0x1711,20.0,5,106733.13,8873.4275,4,4,1,0.0,7,6.0,0.86,1.0,1
160,0x1718,31.0,7,12600.445,782.0370833333334,5,5,10,3.0,25,16.0,15.79,7.0,1
161,0x1719,32.0,12,12600.445,782.0370833333334,5,5,10,3.0,25,18.0,15.79,6.0,0
162,0x171a,32.0,7,12600.445,782.0370833333334,5,5,10,3.0,20,19.0,15.79,7.0,0
163,0x171b,32.0,7,12600.445,782.0370833333334,5,5,10,3.0,25,19.0,15.79,7.0,0
164,0x171c,32.0,7,12600.445,782.0370833333334,5,5,10,3.0,25,20.0,21.79,7.0,0
165,0x171d,32.0,7,12600.445,782.0370833333334,5,5,10,3.0,25,19.0,15.79,11.0,0
166,0x1722,34.0,9,57983.12,4720.926666666667,9,8,31,8.0,47,19.0,7.27,12.0,0
167,0x1724,34.0,9,57983.12,4720.926666666667,9,8,31,8.0,48,14.0,7.27,17.0,0
168,0x1725,34.0,9,57983.12,4831.926666666667,9,8,31,8.0,48,22.0,7.27,17.0,0
169,0x1726,34.0,9,57983.12,4720.926666666667,9,8,31,8.0,48,21.0,10.27,17.0,0
170,0x1727,34.0,9,57983.12,4720.926666666667,9,8,31,8.0,46,21.0,7.27,17.0,1
171,0x1729,34.0,9,57983.12,4720.926666666667,9,8,31,8.0,48,24.0,7.27,6.0,0
174,0x1730,48.0,12,20787.69,1999.3075,8,6,14,3.0,22,14.0,1.13,3.0,1
175,0x1731,48.0,5,20787.69,1732.3075,8,6,14,3.0,22,12.0,1.13,3.0,1
178,0x1734,48.0,5,20787.69,1999.3075,8,6,14,3.0,23,14.0,1.13,3.0,1
179,0x173a,30.0,15,34290.12,2697.51,9,8,25,7.0,52,10.0,17.96,9.0,0
180,0x173b,30.0,15,34290.12,2697.51,9,8,25,7.0,47,14.0,13.96,9.0,1
182,0x173e,30.0,12,34290.12,2697.51,9,8,25,7.0,52,12.0,13.96,9.0,0
183,0x173f,30.0,15,34290.12,2697.51,9,8,25,7.0,52,12.0,13.96,9.0,0
184,0x1740,30.0,15,34290.12,2697.51,9,8,25,7.0,52,12.0,13.96,13.0,1
185,0x1746,32.0,0,43070.24,3589.1866666666665,3,3,18,1.0,11,8.0,8.97,4.0,1
186,0x1747,32.0,0,43070.24,3622.186666666666,3,3,18,1.0,13,8.0,14.97,4.0,1
187,0x1748,32.0,0,43070.24,3622.186666666666,3,3,18,1.0,15,8.0,12.97,4.0,1
190,0x174c,32.0,0,43070.24,3622.186666666666,3,3,18,1.0,11,8.0,8.97,8.0,1
192,0x1753,40.0,1,28572.39,2210.0325,6,3,15,3.0,25,9.0,4.89,0.0,1
193,0x1754,40.0,12,28572.39,2210.0325,6,3,15,3.0,28,10.0,4.89,0.0,1
194,0x1755,40.0,1,28572.39,2381.0325,6,3,15,3.0,25,14.0,4.89,0.0,1
195,0x1756,40.0,1,28572.39,2381.0325,6,3,15,3.0,25,12.0,4.89,2.0,1
196,0x1758,40.0,1,28572.39,2210.0325,6,3,15,3.0,25,13.0,4.89,2.0,1
197,0x176a,54.0,13,20186.02,1684.168333333333,1,5,1,2.0,5,6.0,6.83,4.0,2
198,0x176b,54.0,13,20186.02,1684.168333333333,1,5,1,2.0,5,6.0,0.8300000000000001,6.0,1
199,0x176c,55.0,13,20186.02,1684.168333333333,1,5,1,2.0,4,3.0,6.83,4.0,2
200,0x176e,55.0,13,20186.02,1684.168333333333,1,5,1,2.0,5,7.0,6.83,4.0,1
202,0x1771,55.0,13,20186.02,1684.168333333333,1,5,1,2.0,5,6.0,6.83,4.0,1
203,0x1776,43.0,11,18627.64,1387.303333333333,7,7,19,6.0,31,21.0,9.41,7.0,0
204,0x1777,43.0,11,18627.64,1552.3033333333333,7,7,19,6.0,31,21.0,5.07,7.0,0
205,0x1778,43.0,11,18627.64,1552.3033333333333,7,7,19,6.0,31,21.0,5.07,7.0,0
208,0x177c,43.0,11,18627.64,1387.303333333333,7,7,19,6.0,26,21.0,9.41,7.0,0
209,0x177d,44.0,11,18627.64,1387.303333333333,7,7,19,6.0,31,18.0,5.07,7.0,0
210,0x1782,21.0,4,12986.745,959.22875,4,3,10,2.0,30,14.0,11.8,5.0,1
213,0x1785,21.0,12,12986.745,959.22875,4,3,10,2.0,30,15.0,11.8,7.0,1
214,0x1786,22.0,4,12986.745,959.22875,4,3,10,2.0,30,18.0,16.8,7.0,1
215,0x1787,22.0,4,12986.745,1082.22875,4,3,10,2.0,30,17.0,11.8,7.0,1
217,0x1789,22.0,4,12986.745,959.22875,4,3,10,2.0,28,17.0,11.8,7.0,1
219,0x178f,43.0,15,58317.0,4664.75,8,5,9,6.0,18,20.0,16.58,6.0,1
220,0x1790,44.0,15,58317.0,4859.75,8,5,9,6.0,16,20.0,10.579999999999998,6.0,1
221,0x1792,44.0,15,58317.0,4664.75,8,5,9,6.0,18,20.0,22.58,6.0,1
222,0x1793,44.0,15,58317.0,4664.75,8,5,9,6.0,18,14.0,16.58,10.0,1
223,0x1794,44.0,15,58317.0,4664.75,8,5,9,6.0,18,20.0,21.58,10.0,1
224,0x1795,44.0,15,58317.0,4664.75,8,5,9,6.0,22,14.0,16.58,10.0,1
225,0x179a,36.0,13,42171.98,3514.331666666667,2,7,10,3.0,4,10.0,9.58,4.0,1
226,0x179b,36.0,13,42171.98,3764.331666666667,2,7,10,3.0,4,8.0,2.58,4.0,1
227,0x179c,37.0,13,42171.98,3764.331666666667,2,7,10,3.0,4,14.0,2.58,4.0,1
228,0x179d,37.0,13,42171.98,3514.331666666667,2,7,10,3.0,2,10.0,2.58,4.0,2
229,0x179e,37.0,13,42171.98,3764.331666666667,2,7,10,3.0,4,10.0,2.58,4.0,2
231,0x17a0,37.0,13,42171.98,3764.331666666667,2,7,10,3.0,4,10.0,2.58,4.0,2
233,0x17a7,36.0,8,71681.4,5799.45,3,6,15,1.0,8,6.0,10.44,0.0,1
235,0x17a9,36.0,8,71681.4,5799.45,3,6,15,1.0,4,8.0,10.44,0.0,2
236,0x17ab,36.0,8,71681.4,5799.45,3,6,15,1.0,5,6.0,10.44,0.0,2
237,0x17ac,36.0,8,71681.4,5799.45,3,6,15,1.0,8,10.0,4.44,0.0,2
239,0x17b5,16.0,9,29469.98,2227.8316666666665,7,7,24,5.0,53,21.0,26.94,11.0,0
240,0x17b6,16.0,9,29469.98,2227.8316666666665,7,7,24,5.0,53,21.0,26.94,11.0,0
241,0x17b7,16.0,9,29469.98,2455.8316666666665,7,7,24,5.0,53,21.0,27.94,11.0,0
243,0x17be,19.0,4,72559.36,6284.613333333334,4,5,17,4.0,14,21.0,2.74,1.0,1
244,0x17bf,19.0,4,72559.36,6046.613333333334,4,5,17,4.0,14,22.0,2.74,1.0,1
245,0x17c0,20.0,4,72559.36,6284.613333333334,4,5,17,4.0,18,22.0,-4.26,1.0,1
247,0x17c2,20.0,12,72559.36,6284.613333333334,4,5,17,4.0,14,21.0,2.74,1.0,1
248,0x17c4,20.0,4,72559.36,6284.613333333334,4,5,17,4.0,14,19.0,2.74,1.0,1
250,0x17cb,36.0,11,15566.02,1423.168333333333,8,5,32,4.0,17,20.0,9.24,7.0,0
251,0x17cc,37.0,11,15566.02,1423.168333333333,8,5,32,4.0,12,19.0,9.24,7.0,0
252,0x17cd,37.0,11,15566.02,1423.168333333333,8,5,32,4.0,17,20.0,9.24,6.0,1
253,0x17ce,37.0,11,15566.02,1423.168333333333,8,5,32,4.0,17,20.0,9.24,9.0,0
254,0x17cf,37.0,11,15566.02,1423.168333333333,8,5,32,4.0,13,23.0,9.24,9.0,0
255,0x17d1,37.0,11,15566.02,1423.168333333333,8,5,32,4.0,17,23.0,9.24,9.0,1
257,0x17d8,18.0,2,66567.32,5800.276666666668,5,7,5,2.0,7,12.0,5.67,0.0,1
259,0x17da,19.0,2,66567.32,5800.276666666668,5,7,5,2.0,7,15.0,5.67,0.0,1
260,0x17db,19.0,2,66567.32,5800.276666666668,5,7,5,2.0,7,15.0,5.67,0.0,1
261,0x17dc,19.0,2,66567.32,5800.276666666668,5,7,5,2.0,7,15.0,5.67,0.0,1
262,0x17dd,19.0,2,66567.32,5800.276666666668,5,7,5,2.0,7,14.0,-1.33,2.0,1
263,0x17e2,32.0,10,12909.895,853.8245833333333,5,5,13,0.0,22,14.0,7.58,1.0,1
264,0x17e3,32.0,10,12909.895,853.8245833333333,5,5,13,0.0,22,14.0,7.58,1.0,1
265,0x17e4,33.0,10,12909.895,853.8245833333333,5,5,13,0.0,20,14.0,7.58,1.0,1
266,0x17e5,33.0,10,12909.895,1075.8245833333333,5,5,13,0.0,22,15.0,7.58,1.0,1
267,0x17e8,33.0,10,12909.895,853.8245833333333,5,5,13,0.0,22,16.0,7.58,3.0,1
268,0x17ef,33.0,0,30788.44,2565.7033333333334,7,9,31,6.0,49,20.0,21.73,9.0,1
269,0x17f0,33.0,0,30788.44,2565.7033333333334,7,9,31,6.0,52,22.0,21.73,9.0,1
271,0x17f2,33.0,0,30788.44,2623.703333333333,7,9,31,6.0,49,20.0,21.73,9.0,1
272,0x17f3,33.0,0,30788.44,2623.703333333333,7,9,31,6.0,45,21.0,21.73,9.0,1
273,0x17f4,33.0,0,30788.44,2623.703333333333,7,9,31,6.0,49,20.0,21.73,9.0,1
274,0x17f5,33.0,0,30788.44,2623.703333333333,7,9,31,6.0,49,20.0,21.73,9.0,1
275,0x17fa,42.0,1,20574.47,1740.539166666667,6,3,14,4.0,6,14.0,13.74,6.0,1
276,0x17fb,42.0,1,20574.47,1740.539166666667,6,3,14,4.0,6,10.0,13.74,6.0,1
277,0x17fc,42.0,12,20574.47,1740.539166666667,6,3,14,4.0,6,10.0,14.74,11.0,1
278,0x17ff,42.0,1,20574.47,1740.539166666667,6,3,14,4.0,6,10.0,6.74,11.0,1
279,0x1800,42.0,1,20574.47,1740.539166666667,6,3,14,4.0,1,7.0,13.74,11.0,1
280,0x1808,21.0,12,148699.32,12432.61,3,4,5,3.0,13,3.0,9.2,1.0,2
281,0x1809,22.0,7,148699.32,12432.61,3,4,5,3.0,13,6.0,9.2,1.0,2
284,0x180d,22.0,7,148699.32,12432.61,3,4,5,3.0,16,8.0,9.2,1.0,2
286,0x1813,19.0,11,85554.03,7185.5025,4,2,3,0.0,12,14.0,6.43,3.0,2
289,0x1819,20.0,12,85554.03,7185.5025,4,2,3,0.0,12,7.0,6.43,3.0,2
290,0x181e,15.0,5,55829.79,4369.4825,10,10,18,8.0,30,20.0,27.99,11.0,1
292,0x1821,15.0,5,55829.79,4369.4825,10,10,18,8.0,30,18.0,27.99,11.0,1
293,0x1822,16.0,5,55829.79,4369.4825,10,10,18,8.0,27,18.0,9.41,11.0,1
294,0x1823,16.0,5,55829.79,4652.4825,10,10,18,8.0,31,21.0,27.99,11.0,1
295,0x1824,16.0,5,55829.79,4652.4825,10,10,18,8.0,30,15.0,27.99,11.0,0
298,0x182f,27.0,1,14165.23,1057.4358333333332,7,10,33,9.0,55,24.0,8.82,11.0,0
299,0x1836,30.0,14,87215.68,7489.973333333332,2,6,8,2.0,2,14.0,10.98,0.0,2
301,0x1838,30.0,14,87215.68,7489.973333333332,2,6,8,2.0,3,14.0,9.41,0.0,2
302,0x183a,30.0,14,87215.68,7489.973333333332,2,6,8,2.0,2,5.0,10.98,0.0,2
303,0x183b,30.0,12,87215.68,7489.973333333332,2,6,8,2.0,6,4.0,9.98,0.0,2
304,0x183c,30.0,14,87215.68,7489.973333333332,2,6,8,2.0,2,5.0,10.98,0.0,2
305,0x183d,30.0,14,87215.68,7489.973333333332,2,6,8,2.0,2,8.0,10.98,0.0,2
307,0x1843,43.0,7,81842.28,6810.19,10,9,25,9.0,20,16.0,16.25,9.0,1
308,0x1844,43.0,7,81842.28,6810.19,10,9,25,9.0,20,19.0,16.25,9.0,1
309,0x1845,43.0,7,81842.28,6810.19,10,9,25,9.0,20,16.0,14.25,9.0,1
310,0x1846,43.0,7,81842.28,6820.19,10,9,25,9.0,20,17.0,16.25,11.0,1
311,0x1847,43.0,7,81842.28,6810.19,10,9,25,9.0,20,19.0,16.25,11.0,1
313,0x1849,43.0,7,81842.28,6820.19,10,9,25,9.0,20,16.0,16.25,11.0,1
314,0x184f,38.0,3,95956.5,8279.375,8,4,11,2.0,23,10.0,11.94,2.0,1
315,0x1850,38.0,3,95956.5,8279.375,8,4,11,2.0,23,10.0,11.94,2.0,1
316,0x1851,38.0,3,95956.5,8279.375,8,4,11,2.0,28,14.0,13.94,2.0,2
318,0x1853,38.0,3,95956.5,8279.375,8,4,11,2.0,23,14.0,11.94,2.0,2
319,0x1854,38.0,3,95956.5,8279.375,8,4,11,2.0,23,10.0,11.94,2.0,2
320,0x1855,38.0,3,95956.5,8279.375,8,4,11,2.0,23,14.0,11.94,2.0,2
321,0x185a,25.0,8,49967.01,4091.9175,7,6,31,6.0,27,11.0,19.87,11.0,0
322,0x185b,25.0,12,49967.01,4163.9175000000005,7,6,31,6.0,27,11.0,19.87,11.0,0
323,0x185c,26.0,8,49967.01,4091.9175,7,6,31,6.0,27,11.0,19.87,11.0,0
324,0x185d,26.0,8,49967.01,4091.9175,7,6,31,6.0,27,11.0,19.87,11.0,0
325,0x185e,26.0,12,49967.01,4091.9175,7,6,31,6.0,27,11.0,19.87,11.0,0
326,0x185f,26.0,8,49967.01,4091.9175,6,5,31,6.0,27,14.0,24.87,11.0,0
327,0x1860,26.0,8,49967.01,4091.9175,6,5,31,6.0,27,10.0,16.87,12.0,0
328,0x1869,14.0,2,39887.22,3224.935,9,9,16,5.0,52,14.0,17.25,14.0,0
329,0x186a,14.0,2,39887.22,3224.935,9,9,16,5.0,54,19.0,17.25,14.0,0
330,0x187e,42.0,2,123732.32,10416.026666666668,4,3,11,0.0,15,8.0,11.92,3.0,2
331,0x187f,42.0,12,123732.32,10416.026666666668,4,3,11,0.0,15,8.0,11.92,3.0,2
332,0x1880,43.0,2,123732.32,10416.026666666668,4,3,11,0.0,15,8.0,12.92,3.0,1
334,0x1883,43.0,2,123732.32,10416.026666666668,4,3,11,0.0,15,8.0,11.92,3.0,1
